scope,task_type,task_name_repo,task_name_encompass,status,field,repo_value,encompass_value,repo_file,encompass_file
task,Processing_ServiceOrders_OrderAVM,Order AVM,Order AVM,BOTH,duration,1,2,tasks/2_processing/avm/order_avm_v1.xml,tasks4.xml
task,Processing_ServiceOrders_OrderAVM,Order AVM,Order AVM,BOTH,durationFormat,Day,Hour,tasks/2_processing/avm/order_avm_v1.xml,tasks4.xml
subtask,Processing_ServiceOrders_OrderAVM,Order AVM,Order AVM,ENCOMPASS_ONLY,Order AVM – Value Sufficient,,Order AVM – Value sufficient to use for underwriting. Mark Done to continue with AVM. Mark Issue if an appraisal will be required (this will trigger the creation of Appraisal Task),tasks/2_processing/avm/order_avm_v1.xml,tasks4.xml
subtask,Processing_ServiceOrders_OrderAVM,Order AVM,Order AVM,REPO_ONLY,Order AVM – Ready to Send,Ready to Send – Loan is primed for initial document send; confirm all required items are in order before proceeding,,tasks/2_processing/avm/order_avm_v1.xml,tasks4.xml
subtask_description,Processing_ServiceOrders_OrderAVM,Order AVM,Order AVM,BOTH,Order AVM – Ready to Send with Initial Docs,Ready to Send – Click Send  to add AVM to send with initial documents.,Ready to Send – Click Send  to add AVM to send with initial documents. Required to be sent regardless if value is sufficient or not.,tasks/2_processing/avm/order_avm_v1.xml,tasks4.xml
task,Processing_ServiceOrders_OrderFloodCertificate,Order Flood Certificate,Order Flood Certificate,BOTH,duration,1,2,tasks/2_processing/flood_certificate/order_flood_certificate_v1.xml,tasks4.xml
task,Processing_ServiceOrders_OrderFloodCertificate,Order Flood Certificate,Order Flood Certificate,BOTH,durationFormat,Day,Hour,tasks/2_processing/flood_certificate/order_flood_certificate_v1.xml,tasks4.xml
subtask,Processing_ServiceOrders_OrderFloodCertificate,Order Flood Certificate,Order Flood Certificate,ENCOMPASS_ONLY,Order Flood Certificate – Submit Order,,Submit Order - Mark Done to submit for Flood Certificate.,tasks/2_processing/flood_certificate/order_flood_certificate_v1.xml,tasks4.xml
task,Processing_ServiceOrders_OrderPAR,Order PAR,Order PAR,BOTH,duration,15,4,tasks/2_processing/service_orders/order_par_v1.xml,task5.xml
task,Processing_ServiceOrders_OrderPAR,Order PAR,Order PAR,BOTH,durationFormat,Minute,Hour,tasks/2_processing/service_orders/order_par_v1.xml,task5.xml
association,Processing_ServiceOrders_OrderPAR,Order PAR,Order PAR,ENCOMPASS_ONLY,workspace,,AVMOrderReview,tasks/2_processing/service_orders/order_par_v1.xml,task5.xml
association,Processing_ServiceOrders_OrderPAR,Order PAR,Order PAR,REPO_ONLY,workspace,OrderPAR,,tasks/2_processing/service_orders/order_par_v1.xml,task5.xml
subtask_description,Processing_ServiceOrders_OrderPAR,Order PAR,Order PAR,BOTH,Order PAR – Place PAR Order,Place PAR Order – Place an order for the Property Assessment Report under the AppraisalX platform,Place PAR Order – Place an order for the Property Assessment Report under the AppraisalX menu.,tasks/2_processing/service_orders/order_par_v1.xml,task5.xml
task,Processing_ServiceOrders_OrderTitle,Order Title,Order Title,BOTH,autocomplete,false,true,tasks/2_processing/title/order_title_v1.xml,task5.xml
task,Processing_ServiceOrders_OrderTitle,Order Title,Order Title,BOTH,taskGroupTemplateName,Processing,Service Orders,tasks/2_processing/title/order_title_v1.xml,task5.xml
association,Processing_ServiceOrders_OrderTitle,Order Title,Order Title,ENCOMPASS_ONLY,workspace,,Title Order,tasks/2_processing/title/order_title_v1.xml,task5.xml
association,Processing_ServiceOrders_OrderTitle,Order Title,Order Title,REPO_ONLY,workspace,Title,,tasks/2_processing/title/order_title_v1.xml,task5.xml
subtask_rank,Processing_ServiceOrders_OrderTitle,Order Title,Order Title,BOTH,Order Title – Order Title Ownership Report – Old Republic,,1,tasks/2_processing/title/order_title_v1.xml,task5.xml
subtask_rank,Processing_ServiceOrders_OrderTitle,Order Title,Order Title,BOTH,Order Title – Order Title Ownership Report – Equity Attorney (Trust),,2,tasks/2_processing/title/order_title_v1.xml,task5.xml
subtask_rank,Processing_ServiceOrders_OrderTitle,Order Title,Order Title,BOTH,Order Title – Obtain Quote – New Deed Prep,,3,tasks/2_processing/title/order_title_v1.xml,task5.xml
subtask_rank,Processing_ServiceOrders_OrderTitle,Order Title,Order Title,BOTH,Order Title – Order Title – Bank Attorney,,4,tasks/2_processing/title/order_title_v1.xml,task5.xml
task,Processing_ServiceOrders_RecheckFloodCertificate,Recheck Flood,Recheck Flood,BOTH,priority,3,6,tasks/2_processing/service_orders/recheck_flood_v1.xml,tasks4.xml
task,Underwriting_Misc_SendCounteroffer,Send Counteroffer,Send Counteroffer,BOTH,autocomplete,false,true,tasks/3_underwriting/uw_misc/send_counteroffer_v1.xml,tasks2 (1).xml
task,Underwriting_Misc_SendCounteroffer,Send Counteroffer,Send Counteroffer,BOTH,taskGroupTemplateName,Underwriting,,tasks/3_underwriting/uw_misc/send_counteroffer_v1.xml,tasks2 (1).xml
association,Underwriting_Misc_SendCounteroffer,Send Counteroffer,Send Counteroffer,ENCOMPASS_ONLY,workspace,,Decision Flow,tasks/3_underwriting/uw_misc/send_counteroffer_v1.xml,tasks2 (1).xml
association,Underwriting_PostUnderwriting_CondoMasterReview,Master Property Insurance Review,Master Property Insurance Review,ENCOMPASS_ONLY,workspace,,Master Insurance Review,tasks/3_underwriting/post_underwriting/master_property_insurance_review_v1.xml,tasks4.xml
subtask_description,Underwriting_PostUnderwriting_CondoMasterReview,Master Property Insurance Review,Master Property Insurance Review,BOTH,Master Property Insurance Review – Per-Unit Deductible Exists,"Per-Unit Deductible Exists – Determine whether the master policy includes a per-unit deductible that applies to an individual unit owner. If Per-Unit Deductible Exists, mark Issue to trigger HO6 Policy Review task.",Per-Unit Deductible Exists – Determine whether the master policy includes a per-unit deductible that applies to an individual unit owner. If Per-Unit Deductible Exist mark Issue to trigger HO6  Policy Review task.,tasks/3_underwriting/post_underwriting/master_property_insurance_review_v1.xml,tasks4.xml
subtask_description,Underwriting_PostUnderwriting_CondoMasterReview,Master Property Insurance Review,Master Property Insurance Review,BOTH,Master Property Insurance Review – Interior Coverage Gap,"Interior Coverage Gap – Determine whether any portion of the interior of the unit or unit improvements are not covered by the master policy. If Gap Exists, mark Issue to trigger HO6 Policy Review task.",Interior Coverage Gap – Determine whether any portion of the interior of the unit or unit improvements are not covered by the master policy.  If Gap Exists mark Issue to trigger HO6  Policy Review task.,tasks/3_underwriting/post_underwriting/master_property_insurance_review_v1.xml,tasks4.xml
association,Underwriting_PostUnderwriting_HOIReview,HOI Review,HOI Review,REPO_ONLY,workspace,HOIReview,,tasks/3_underwriting/post_underwriting/hoi_review_v1.xml,tasks4.xml
subtask,Underwriting_PostUnderwriting_HOIReview,HOI Review,HOI Review,ENCOMPASS_ONLY,HOI Review – Verify Coverage Amounts,,Verify Coverage Amounts – Confirm dwelling coverage meets or exceeds the loan amount and that liability and other required coverage amounts are sufficient,tasks/3_underwriting/post_underwriting/hoi_review_v1.xml,tasks4.xml
subtask,Underwriting_PostUnderwriting_HOIReview,HOI Review,HOI Review,ENCOMPASS_ONLY,HOI Review – Verify Lender Named as Mortgagee,,"Verify Lender Named as Mortgagee – Confirm the lender is listed as the mortgagee on the policy; if not, request an updated declarations page from the insurance agent",tasks/3_underwriting/post_underwriting/hoi_review_v1.xml,tasks4.xml
subtask,Underwriting_PostUnderwriting_HOIReview,HOI Review,HOI Review,ENCOMPASS_ONLY,HOI Review – Confirm Policy Effective Date,,Confirm Policy Effective Date – Verify the policy effective date is on or before the loan closing date,tasks/3_underwriting/post_underwriting/hoi_review_v1.xml,tasks4.xml
