scope,task_type,task_name_repo,task_name_encompass,status,field,repo_value,encompass_value,repo_file,encompass_file
task,Closing_DocPrep_CreateClosingPackage,Create Closing Package,Create Closing Package,BOTH,taskGroupTemplateName,Closing,,tasks/4_closing/doc_prep/create_closing_package_v1.xml,tasks1.xml
task,Closing_PreClosing_RequestClosingDisclosure,Request Closing Disclosure,Request Closing Disclosure,BOTH,autocomplete,false,true,tasks/4_closing/pre_closing/request_closing_disclosure_v1.xml,tasks2 (1).xml
task,Closing_PreClosing_RequestClosingDisclosure,Request Closing Disclosure,Request Closing Disclosure,BOTH,taskGroupTemplateName,Closing,,tasks/4_closing/pre_closing/request_closing_disclosure_v1.xml,tasks2 (1).xml
task,Closing_PreClosing_Scheduling,Scheduling,Confirm Scheduling,BOTH,name,Scheduling,Confirm Scheduling,tasks/4_closing/pre_closing/scheduling_v1.xml,tasks1.xml
task,Closing_PreClosing_Scheduling,Scheduling,Confirm Scheduling,BOTH,duration,1,2,tasks/4_closing/pre_closing/scheduling_v1.xml,tasks1.xml
task,Closing_PreClosing_Scheduling,Scheduling,Confirm Scheduling,BOTH,autocomplete,false,true,tasks/4_closing/pre_closing/scheduling_v1.xml,tasks1.xml
task,Closing_PreClosing_Scheduling,Scheduling,Confirm Scheduling,BOTH,taskGroupTemplateName,Closing,,tasks/4_closing/pre_closing/scheduling_v1.xml,tasks1.xml
association,Closing_PreClosing_Scheduling,Scheduling,Confirm Scheduling,ENCOMPASS_ONLY,Assignee,,Closer,tasks/4_closing/pre_closing/scheduling_v1.xml,tasks1.xml
association,Closing_PreClosing_Scheduling,Scheduling,Confirm Scheduling,ENCOMPASS_ONLY,custom-form-workspaceoverride-0,,Closing Date/Time,tasks/4_closing/pre_closing/scheduling_v1.xml,tasks1.xml
association,Closing_PreClosing_Scheduling,Scheduling,Confirm Scheduling,ENCOMPASS_ONLY,workspace,,Closing Setup,tasks/4_closing/pre_closing/scheduling_v1.xml,tasks1.xml
association,Closing_PreClosing_Scheduling,Scheduling,Confirm Scheduling,REPO_ONLY,Assignee,Loan Processor,,tasks/4_closing/pre_closing/scheduling_v1.xml,tasks1.xml
subtask_description,Closing_PreClosing_Scheduling,Scheduling,Confirm Scheduling,BOTH,Scheduling – Obtain Closing Date and Time from Branch,Obtain Closing Date and Time from Branch – Contact the branch to obtain the confirmed closing date and time for this loan,Obtain Closing Date and Time from Branch – Input information into system.,tasks/4_closing/pre_closing/scheduling_v1.xml,tasks1.xml
task,Closing_PreClosing_SendInitialClosingDisclosure,Send Initial Closing Disclosure,Send Initial Closing Disclosure,BOTH,autocomplete,false,true,tasks/4_closing/pre_closing/send_initial_closing_disclosure_v1.xml,tasks2 (1).xml
